0,Cruz Cakes,5 Torta Milhojas | 3 Torta Camilo | 5 Torta Camilo | 4 Torta Camilo
1,Dulces DCCianos,3 DCCheesecake
2,Dulces DCCianos,5 DCChocolate Brownies | 4 DCCupcakes
3,Ossa Burgers,3 AI Burger | 3 American Burger
4,Potato World,3 Papas Fritas Grandes | 3 Papas Horneadas | 1 Papas Rellenas | 5 Papas Horneadas
5,Ossa Burgers,3 Bacon Burger Doble | 1 DCCheese Burger | 3 DCCheese Burger
6,Papa Joaquin's,2 Pizza de Pepperoni
7,Cruz Cakes,5 Torta Milhojas
8,Ossa Burgers,1 Bacon Burger Doble
9,Cruz Cakes,4 Torta Camilo | 2 Torta Milhojas | 3 Carrot Cake | 1 Carrot Cake | 5 Torta Milhojas
10,Ossa Burgers,5 AI Burger | 2 AI Burger | 2 American Burger
11,Cruz Cakes,2 Torta Camilo
12,Papa Joaquin's,4 Papa Combo | 2 Papa Combo
13,Dulces DCCianos,1 DCCheesecake
14,Cruz Cakes,2 Carrot Cake | 5 Carrot Cake | 2 Torta Camilo | 2 Torta Milhojas
15,Ossa Burgers,2 Onion Barbecue Burger | 5 AI Burger | 3 American Burger | 5 Bacon Burger Doble
16,Papa Joaquin's,5 Pizza Super Spicy Jalapeño | 2 Pizza The Vegan Queen
17,Ossa Burgers,2 Onion Barbecue Burger | 2 Onion Barbecue Burger | 1 AI Burger | 3 AI Burger
18,Ossa Burgers,1 Onion Barbecue Burger
19,Papa Joaquin's,5 Pizza Super Spicy Jalapeño | 5 Pizza Pollo Barbecue
20,Potato World,2 Papas Fritas Grandes | 5 Pastel de Papa
21,Papa Joaquin's,2 Pizza Pollo Barbecue | 5 Pizza Pollo Barbecue | 1 Pizza Pollo Barbecue
22,Dulces DCCianos,4 DCCupcakes | 4 DCCroissant
23,Ossa Burgers,5 American Burger
24,Cruz Cakes,3 Torta Camilo | 2 Cupcakes | 5 Torta Camilo | 1 Torta Camilo | 2 Torta Milhojas
25,Cruz Cakes,3 Carrot Cake
26,Potato World,4 Pastel de Papa | 1 Papas Fritas Grandes | 4 Papas Fritas Grandes
27,Dulces DCCianos,2 DCCookies de chocolate | 2 DCCookies de chocolate | 2 DCCheesecake
28,Potato World,3 Papas Fritas Grandes
29,La pica de la Cote,1 Cazuela de Pavo | 2 Terremoto | 3 Asado al palo | 3 Mote con Huesillos | 5 Empanadas
30,Cruz Cakes,1 Torta Milhojas | 3 Carrot Cake | 4 Torta Milhojas
31,La pica de la Cote,5 Pastel de Choclo | 4 Mote con Huesillos | 5 Terremoto | 4 Cazuela de Pavo
32,La pica de la Cote,5 Terremoto
33,Potato World,3 Papas Horneadas | 4 Papas Horneadas | 4 Papas Fritas Pequeñas
34,Papa Joaquin's,1 Papa Combo | 2 Pizza Pollo Barbecue | 4 Pizza Pollo Barbecue | 2 Papa Combo | 5 Pizza de Pepperoni
35,La pica de la Cote,5 Empanadas
36,Potato World,3 Papas Rellenas | 2 Pastel de Papa
37,Cruz Cakes,2 Torta Milhojas | 1 Carrot Cake | 5 Carrot Cake | 3 Torta Milhojas
38,Cruz Cakes,2 Torta Camilo | 5 Torta Milhojas | 1 Torta Milhojas | 3 Carrot Cake
39,Dulces DCCianos,3 DCCookies de chocolate | 5 DCCheesecake
40,Papa Joaquin's,4 Papa Combo
41,Papa Joaquin's,5 Pizza Super Spicy Jalapeño | 5 Pizza Super Spicy Jalapeño | 4 Pizza Super Spicy Jalapeño | 2 Pizza The Vegan Queen
42,Cruz Cakes,4 Torta Camilo | 1 Cupcakes
43,Potato World,3 Papas Fritas Grandes | 3 Pastel de Papa | 1 Papas Rellenas
44,Potato World,3 Pastel de Papa | 2 Papas Horneadas
45,Potato World,1 Pastel de Papa
46,La pica de la Cote,4 Asado al palo | 1 Mote con Huesillos | 3 Cazuela de Pavo | 5 Pastel de Choclo | 4 Cazuela de Pavo
47,Cruz Cakes,4 Torta Milhojas
48,Ossa Burgers,5 Onion Barbecue Burger | 1 AI Burger | 1 Bacon Burger Doble
49,Dulces DCCianos,3 DCCheesecake | 1 DCCookies de chocolate | 5 DCCupcakes | 4 DCCupcakes
50,Dulces DCCianos,5 DCCookies de chocolate
51,Ossa Burgers,5 AI Burger | 3 AI Burger | 2 AI Burger | 5 Onion Barbecue Burger | 1 DCCheese Burger
52,Ossa Burgers,1 Onion Barbecue Burger | 2 DCCheese Burger | 3 AI Burger | 3 DCCheese Burger
53,Ossa Burgers,2 DCCheese Burger | 5 AI Burger
54,Ossa Burgers,1 DCCheese Burger | 2 American Burger | 1 AI Burger | 3 American Burger
55,La pica de la Cote,4 Cazuela de Pavo
56,Dulces DCCianos,5 DCCroissant | 4 DCCupcakes | 5 DCCookies de chocolate | 2 DCCupcakes
57,Potato World,1 Papas Fritas Pequeñas | 4 Pastel de Papa | 5 Papas Fritas Grandes | 1 Papas Rellenas
58,Ossa Burgers,3 American Burger | 2 Onion Barbecue Burger | 1 American Burger | 3 Onion Barbecue Burger
59,La pica de la Cote,2 Mote con Huesillos
60,Papa Joaquin's,1 Pizza The Vegan Queen | 5 Papa Combo | 2 Pizza Pollo Barbecue
61,Potato World,2 Papas Fritas Grandes | 4 Papas Fritas Grandes | 3 Pastel de Papa
62,La pica de la Cote,4 Empanadas | 4 Empanadas | 2 Pastel de Choclo | 2 Empanadas
63,Ossa Burgers,4 DCCheese Burger | 5 AI Burger | 5 DCCheese Burger | 4 AI Burger
64,Cruz Cakes,5 Cupcakes | 2 Torta Milhojas
65,Potato World,4 Papas Fritas Pequeñas | 4 Papas Fritas Pequeñas | 5 Papas Fritas Grandes
66,Papa Joaquin's,5 Papa Combo | 4 Papa Combo | 5 Papa Combo | 3 Pizza Super Spicy Jalapeño | 4 Pizza Pollo Barbecue
67,Cruz Cakes,4 Torta Milhojas | 4 Torta Milhojas
68,Cruz Cakes,1 Torta Camilo | 4 Torta Milhojas
69,Papa Joaquin's,1 Papa Combo
70,Dulces DCCianos,5 DCCupcakes
71,Potato World,3 Papas Horneadas | 5 Pastel de Papa
72,Dulces DCCianos,4 DCChocolate Brownies
73,Dulces DCCianos,4 DCCookies de chocolate | 4 DCCroissant | 1 DCCroissant
74,Ossa Burgers,1 Onion Barbecue Burger | 3 AI Burger
75,Ossa Burgers,3 Bacon Burger Doble | 1 American Burger | 4 Onion Barbecue Burger | 1 American Burger
76,Potato World,4 Papas Fritas Pequeñas | 2 Papas Fritas Grandes | 2 Papas Horneadas
77,Papa Joaquin's,5 Papa Combo | 2 Pizza Super Spicy Jalapeño
78,Papa Joaquin's,3 Pizza Pollo Barbecue | 1 Pizza Super Spicy Jalapeño | 2 Pizza Super Spicy Jalapeño | 1 Pizza Pollo Barbecue | 2 Pizza The Vegan Queen
79,Cruz Cakes,3 Torta Camilo | 5 Carrot Cake | 5 Torta Milhojas | 4 Carrot Cake
80,Papa Joaquin's,4 Pizza Super Spicy Jalapeño | 5 Papa Combo | 3 Pizza de Pepperoni | 5 Pizza The Vegan Queen
81,Papa Joaquin's,1 Pizza de Pepperoni | 5 Pizza Super Spicy Jalapeño | 2 Pizza de Pepperoni
82,Papa Joaquin's,4 Pizza de Pepperoni
83,Papa Joaquin's,4 Pizza Super Spicy Jalapeño | 1 Pizza Super Spicy Jalapeño | 4 Pizza de Pepperoni
84,Ossa Burgers,2 American Burger | 1 Onion Barbecue Burger | 4 American Burger | 4 DCCheese Burger
85,Dulces DCCianos,3 DCChocolate Brownies | 4 DCCheesecake | 4 DCChocolate Brownies
86,La pica de la Cote,3 Terremoto | 2 Mote con Huesillos | 5 Terremoto | 4 Cazuela de Pavo
87,La pica de la Cote,5 Asado al palo | 2 Terremoto | 1 Empanadas | 3 Terremoto
88,Potato World,1 Pastel de Papa | 3 Papas Rellenas | 5 Papas Fritas Grandes | 5 Papas Rellenas
89,La pica de la Cote,4 Cazuela de Pavo | 1 Asado al palo | 1 Terremoto | 2 Empanadas
90,Ossa Burgers,1 Bacon Burger Doble
91,Ossa Burgers,5 Onion Barbecue Burger | 2 AI Burger | 1 AI Burger
92,Papa Joaquin's,3 Pizza Super Spicy Jalapeño | 2 Pizza The Vegan Queen | 3 Pizza The Vegan Queen | 1 Pizza Pollo Barbecue | 2 Pizza Pollo Barbecue
93,Dulces DCCianos,5 DCCheesecake | 3 DCCheesecake | 5 DCCupcakes | 2 DCCheesecake | 5 DCCupcakes
94,Cruz Cakes,2 Cupcakes | 5 Cupcakes | 5 Cupcakes | 2 Torta Camilo
95,Dulces DCCianos,1 DCCinnamon Rolls | 2 DCCupcakes
96,Papa Joaquin's,4 Papa Combo | 2 Pizza Super Spicy Jalapeño
97,Papa Joaquin's,5 Pizza The Vegan Queen | 1 Pizza Pollo Barbecue | 2 Pizza de Pepperoni | 1 Pizza Super Spicy Jalapeño
98,Dulces DCCianos,3 DCCookies de chocolate
99,Papa Joaquin's,2 Pizza Super Spicy Jalapeño | 4 Pizza de Pepperoni | 1 Papa Combo | 5 Pizza Super Spicy Jalapeño | 4 Pizza Pollo Barbecue